Reviewer Name,Review Date,Review Content
mygirlsdado,"Dec 29, 2020","Dual temperature was the selling feature of this unit. Instructions make it seem difficult to setup, but if you reword it like I did, a breeze to get up and running. I will be buying yet another one soon making my total count 3. Highly recommended."
dynamic_surviva...,"Jun 08, 2020","I brew Kombucha and need the heating pad to maintain a 70-72 degree temperature. Most heating pads just have a low, medium, and high setting but when plugged into this unit I’m always within 1° of where I would like to be. Easy to set up, easy to use, and very accurate! I’m really happy with my purchase."
alfabravo,"Aug 19, 2021","I have installed it for an electric water heater in my RV. The OEM control was a
snap action thermal switch with a large hysteresis on/off cycle (15-20) degrees.  I can now choose that parameter.  Additionally the temperature readout is very useful since the heater is turned off much of the time.  I have 
not programmed the on/off time yet but that is a useful feature."
emainebob,"Nov 04, 2025","Nice accurate unit, great features, easy to use. just wish I got the Wi-Fi unit. Thanks"
iyou,"Feb 19, 2022","I use to control a space heater in a small greenhouse. Orchids need a temperature difference between day and night to grow well and bloom. This unit provides day/night temperature controls that let me provide these conditions. I wish it was a more durable unit, but for the price I can't complain.

Pros: Inexpensive, gets the job done
Cons: Don't expect it to last more than a year"
rarelyp123,"Jul 13, 2021",Controls temperature more accurately than typical heaters. I'm tired of buying expensive name brand heaters that last 3 years or less so giving this a go and so far it is working better than expected. I can set the tank to exactly what temp I want and it will stay there within 1 degree.
pastorjacspanis0,"Jul 25, 2022","It works really well, the only thing I dislike about it is the instructions, it's difficult to set it by the way the instructions are written. It took me a while to get it set, never could set with the instructions. I just kept trying until I got it where I could get it set right."
joti007,"Aug 16, 2021","I own several of these and use them in my workshop to control temps in my freezer wood kiln, I also use one to control the temperature in my low heat resin curing oven.  Once you get the hang of programming them they are great"
calviteete-0,"Jan 12, 2021",The timer function is a little awkward. The overall function is good. It holds my tempera just fine. Easy to program. Easy to use.
ezuovleuttw@del...,"Mar 10, 2023",This product has made my life easier. I use it to heat a homemade wood kiln. It is extremely accurate. Thank you
imported55,"Jan 30, 2024",can be adjusted to be very accurate. Had one 4 years works great
grcar-7778,"May 21, 2021","Good quality, works at it should, turns on and off as it should."
me-again1,"Dec 30, 2024",This thermostat is just what I needed!
racerjack479,"Jun 16, 2022",Great price and very easy to use.
robojr2014,"Dec 18, 2024",delivered on time
portengineer,"Jan 13, 2025",Good deal.  Complicated to program.
painintheassone,"Dec 09, 2023",Quality product that is easy to operate.
esobers,"Jan 28, 2021",Not Available
migol_41,"Nov 23, 2021",It would not read the temperature properly it was good 10 plus degrees off from my thermometer 
at95311,"Mar 30, 2021",Used it for turning on heat lamp in dog house. It worked perfectly for turning on lamp below 35 degrees and turning off above 35 degrees 
no_information_...,"Aug 09, 2021",Used it to regulate heating pad temperature for newborn puppies. Shut off at designated temperature. Works great.
geoudude,"Mar 15, 2025",very nice unit
grantmoseley,"Nov 23, 2021","The directions are terrible, but once you figure that out its great."
laboratory-7,"Jul 06, 2021",Excellent quality at a very reasonable price.
jus1hillbilly62,"Jan 25, 2021","This is very complicated to set up,much easier products out there, wont buy another one of these!"
bayshopper4deals,"Dec 14, 2023",good controller for keeping things at the right temperature
discu_311,"Jan 16, 2025",These work perfectly on all 12 of my fish tanks
tippie53,"Aug 17, 2021",does what I need it to do  thank you
arplating,"Nov 22, 2021",Not Available
shelbyman662,"Sep 21, 2022",The directions on this thermostat is not all that but overall it is a excellent  Accurate thermostat.
evans8580jde,"May 30, 2024",Worked great
cras-28,"Oct 09, 2021",Excellent works great
kiser_mike,"Jan 05, 2021",I found it hard to program 
surasak75,"Jan 25, 2022",Works great! 
pca_mis_luphbsl,"Oct 28, 2021",Pleased with product
all4onesales,"May 21, 2024",Perfect!!!
jhyw_11,"Mar 16, 2022",good deal
auctioneerined534x,"Mar 15, 2023",Good deal
tdhomework,"Dec 28, 2021",works great I like it
evans8580jde,"May 30, 2024",Worked great
cras-28,"Oct 09, 2021",Excellent works great
kiser_mike,"Jan 05, 2021",I found it hard to program 
surasak75,"Jan 25, 2022",Works great! 
pca_mis_luphbsl,"Oct 28, 2021",Pleased with product
all4onesales,"May 21, 2024",Perfect!!!
jhyw_11,"Mar 16, 2022",good deal
auctioneerined534x,"Mar 15, 2023",Good deal
tdhomework,"Dec 28, 2021",works great I like it
